,2022,2023,2024
425,SNX UN Equity,MRK UN Equity,STLD UW Equity
426,BYD UN Equity,LUMN UN Equity,CNH UN Equity
427,HEI UN Equity,CHH UN Equity,OZK UW Equity
428,TRU UN Equity,CLF UN Equity,UNM UN Equity
429,GWW UN Equity,STLD UW Equity,DINO UN Equity
430,COR UN Equity,OZK UW Equity,CBSH UW Equity
431,SIVBQ UW Equity,UNM UN Equity,ENPH UQ Equity
432,DDOG UW Equity,DINO UN Equity,ITW UN Equity
433,MRK UN Equity,CBSH UW Equity,REXR UN Equity
434,LUMN UN Equity,ENPH UQ Equity,TTEK UW Equity
435,CHH UN Equity,ITW UN Equity,DBX UW Equity
436,CLF UN Equity,REXR UN Equity,WAB UN Equity
437,STLD UW Equity,TTEK UW Equity,CTAS UW Equity
438,OZK UW Equity,DBX UW Equity,LNC UN Equity
439,UNM UN Equity,WAB UN Equity,OVV UN Equity
440,CBSH UW Equity,CTAS UW Equity,VFC UN Equity
441,ENPH UQ Equity,LNC UN Equity,ANSS UW Equity
442,CVAC UQ Equity,OVV UN Equity,AVGO UW Equity
443,ITW UN Equity,VFC UN Equity,HAS UW Equity
444,REXR UN Equity,ANSS UW Equity,MAA UN Equity
445,9990213D UN Equity,AVGO UW Equity,EQH UN Equity
446,DBX UW Equity,HAS UW Equity,VMI UN Equity
447,WAB UN Equity,MAA UN Equity,LYB UN Equity
448,CTAS UW Equity,EQH UN Equity,ES UN Equity
449,LNC UN Equity,VMI UN Equity,LYFT UW Equity
450,VFC UN Equity,LYB UN Equity,CNC UN Equity
451,ANSS UW Equity,ES UN Equity,CC UN Equity
452,AVGO UW Equity,LYFT UW Equity,DAY UN Equity
453,HAS UW Equity,CNC UN Equity,FYBR UW Equity
454,MAA UN Equity,CC UN Equity,CRBG UN Equity
455,EQH UN Equity,DAY UN Equity,OLLI UQ Equity
456,YUMC UN Equity,FYBR UW Equity,LII UN Equity
457,9990527D UW Equity,CRBG UN Equity,ACHC UW Equity
458,VMI UN Equity,OLLI UQ Equity,PATH UN Equity
459,LYB UN Equity,LII UN Equity,AMBP UN Equity
460,ES UN Equity,ACHC UW Equity,NUE UN Equity
461,LYFT UW Equity,PATH UN Equity,CERT UW Equity
462,CNC UN Equity,AMBP UN Equity,STE UN Equity
463,CC UN Equity,NUE UN Equity,KR UN Equity
464,DAY UN Equity,CERT UW Equity,EQR UN Equity
465,OLLI UQ Equity,COO UN Equity,VAC UN Equity
466,LII UN Equity,STE UN Equity,TXN UW Equity
467,ACHC UW Equity,KR UN Equity,FCN UN Equity
468,AMBP UN Equity,EQR UN Equity,GTLB UW Equity
469,NUE UN Equity,VAC UN Equity,FITB UW Equity
